3.8234 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
18.8275 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1536, 1024]. Using actual size
21.1829 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DE9905CE50>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001DE9C02D9A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1536, 1024]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.1831 	EXP 	window1: mouseVisible = True
21.1833 	EXP 	window1: mouseVisible = False
21.1834 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
21.1834 	EXP 	window1: recordFrameIntervals = False
21.3479 	EXP 	window1: recordFrameIntervals = True
21.5316 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
21.5316 	EXP 	window1: recordFrameIntervals = False
25.2188 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
25.2456 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
25.2486 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
25.2496 	EXP 	New trial (rep=0, index=0): None
25.2755 	EXP 	grating: ori = -2.0
25.2755 	EXP 	fixation: autoDraw = True
26.3140 	EXP 	grating: autoDraw = True
26.3140 	EXP 	grating: tex = 'sin'
26.3199 	EXP 	fixation: autoDraw = False
26.6149 	EXP 	grating: autoDraw = False
